,0,"""require""",STRLIT,EXPRESSION,"""function""",IDENTIFIER,"""(""",""")""","""end""",""":""",TYPE,""",""","""global""","""=""","""local""","""if""","""then""","""else""","""elsif""","""while""","""do""","""return""","""for""","""repeat""","""until""",$,
T47,,,,,"""function"" ""("" T18 "")"" T50, 13",,,,,,"TYPE T51, 14",,,,,,,,,,,,,,,,
T48,,,,"ε, 35",,"ε, 35",,,,,,""","" EXPRESSION T48, 36",,,"ε, 35","ε, 35",,,,"ε, 35",,"ε, 35","ε, 35","ε, 35","ε, 35",,
T49,,,,,"""function"" ""("" T18 "")"" T52, 13",,,,,,"TYPE T53, 14",,,,,,,,,,,,,,,,
T50,,,,"ε, 21",,"ε, 21",,,"ε, 21",""":"" TYPE T54, 22",,,,,"ε, 21","ε, 21",,"ε, 21","ε, 21","ε, 21",,"ε, 21","ε, 21","ε, 21",,,
T51,,,,"ε, 19",,"ε, 19",,,"ε, 19",,,,,"""="" EXPRESSION, 20","ε, 19","ε, 19",,"ε, 19","ε, 19","ε, 19",,"ε, 19","ε, 19","ε, 19",,,
T52,,,,"ε, 21",,"ε, 21",,,,""":"" TYPE T55, 22",,,,,"ε, 21","ε, 21",,,,"ε, 21",,"ε, 21","ε, 21","ε, 21","ε, 21",,
T53,,,,"ε, 19",,"ε, 19",,,,,,,,"""="" EXPRESSION, 20","ε, 19","ε, 19",,,,"ε, 19",,"ε, 19","ε, 19","ε, 19","ε, 19",,
T54,,,,"ε, 17",,"ε, 17",,,"ε, 17",,,""","" TYPE T54, 18",,,"ε, 17","ε, 17",,"ε, 17","ε, 17","ε, 17",,"ε, 17","ε, 17","ε, 17",,,
T55,,,,"ε, 17",,"ε, 17",,,,,,""","" TYPE T55, 18",,,"ε, 17","ε, 17",,,,"ε, 17",,"ε, 17","ε, 17","ε, 17","ε, 17",,
"""require""",,pop 0,,,,,,,,,,,,,,,,,,,,,,,,,
STRLIT,,,pop 0,,,,,,,,,,,,,,,,,,,,,,,,
EXPRESSION,,,,pop 0,,,,,,,,,,,,,,,,,,,,,,,
"""function""",,,,,pop 0,,,,,,,,,,,,,,,,,,,,,,
