;0;"""require""";STRLIT;IDENTIFIER;"""function""";"""(""";""")""";"""end""";""":""";TYPE;""",""";"""global""";"""=""";EXPRESSION;"""local""";"""if""";"""then""";"""else""";"""elseif""";"""while""";"""do""";"""return""";"""for""";"""repeat""";"""until""";"""break""";$;
T50;;;;;;;;;;;;;;;;;;;;;;;"""for"" IDENTIFIER ""="" EXPRESSION "","" EXPRESSION T31 ""do"" T29 ""end"", 71";;;;;
T51;;;;;;;;;;;;;;;;;;;;;;;;"""repeat"" T32 ""until"" EXPRESSION, 72";;;;
T52;;;;ε, 40;;;;ε, 40;;;""","" EXPRESSION T52, 41";;;;ε, 40;ε, 40;;;;ε, 40;;ε, 40;ε, 40;ε, 40;;;;
T53;;;;IDENTIFIER T71, 31;;;;;;;;;;;;;;;;;;;;;;;;
T54;;;;;;;;;;;;;;;"""local"" IDENTIFIER "":"" T72, 42";;;;;;;;;;;;;
T55;;;;;;;;;;;;;;;;"""if"" EXPRESSION ""then"" T67 T68 T69 ""end"", 65";;;;;;;;;;;;
T56;;;;;;;;;;;;;;;;;;;;"""while"" EXPRESSION ""do"" T29 ""end"", 70";;;;;;;;
T57;;;;;;;;;;;;;;;;;;;;;;"""return"" T73, 49";;;;;;
T58;;;;;;;;;;;;;;;;;;;;;;;"""for"" IDENTIFIER ""="" EXPRESSION "","" EXPRESSION T31 ""do"" T29 ""end"", 71";;;;;
T59;;;;;;;;;;;;;;;;;;;;;;;;"""repeat"" T32 ""until"" EXPRESSION, 72";;;;
T60;;;;;;;""")"", 35";;;;;;;"EXPRESSION T23 "")"", 36";;;;;;;;;;;;;;
T61;;;;;;;;;;;""","" IDENTIFIER T61, 39";;ε, 38;;;;;;;;;;;;;;;
T62;;;;;;T74, 32;;;;;T75, 33;;T75, 33;;;;;;;;;;;;;;;
T63;;;;;"""function"" ""("" T20 "")"" T76, 13";;;;;TYPE T77, 14;;;;;;;;;;;;;;;;;;
T64;;;;ε, 54;;;;ε, 54;;;;;;EXPRESSION T78, 55;ε, 54;ε, 54;;ε, 54;ε, 54;ε, 54;;ε, 54;ε, 54;ε, 54;;;;
T65;;;;;;T79, 32;;;;;T80, 33;;T80, 33;;;;;;;;;;;;;;;
